"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",0,0,NA
"Med. 1 Day Min",0.77,5.16,-570
"Min. 3 Day Min",0.167,-2.75e-12,100
"Med. 3 Day Min",1.11,7.36,-563
"Min. 7 Day Min",0.256,0.049,80.9
"Med. 7 Day Min",1.59,12.3,-674
"Min. 30 Day Min",0.882,3.91,-343
"Med. 30 Day Min",3.51,34.5,-883
"Min. 90 Day Min",5.85,30.3,-418
"Med. 90 Day Min",65.6,131,-99.7
"7Q10",0.437,0.407,6.86
"Year of 90-Day Low Flow",2002,2002,0
"Drought Year Mean",173.790904109589,226.086481912706,-30.1
"Mean Baseflow",323,318,1.55
