"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",2160,612,840,731,1040,1500,1460,1470,1210,1100,653,569,506,2480,2710,3010,3010,2330,2180,1430,1610,2370,1380,1520,1990,104,360,109,472,126,635,224,783,336,1110,290,2002,221,490,1560,5320,14600,454,1270,2270,3200,4290,5360,6640,9740,5980,6740,4360,2540,2920,3800,41500,20800,34500,14600,24500,7410,9250,3950,6300,2860,731.167123287671
"Model",2300,482,841,922,1040,1760,1740,1540,1120,991,675,662,517,2350,3470,3720,3360,2420,2240,1140,1500,2430,1580,1480,2030,199,388,211,408,214,459,230,611,366,824,257,2002,253,395,1480,6380,15300,453,1410,2230,3520,2190,5190,5440,11200,5680,4350,2920,1310,1730,2290,64400,21000,40000,13800,24900,8840,10700,4530,7630,3370,656.67346084622
"Pct. Error",-6.48,21.2,-0.119,-26.1,0,-17.3,-19.2,-4.76,7.44,9.91,-3.37,-16.3,-2.17,5.24,-28,-23.6,-11.6,-3.86,-2.75,20.3,6.83,-2.53,-14.5,2.63,-2.01,-91.3,-7.78,-93.6,13.6,-69.8,27.7,-2.68,22,-8.93,25.8,11.4,0,-14.5,19.4,5.13,-19.9,-4.79,0.22,-11,1.76,-10,49,3.17,18.1,-15,5.02,35.5,33,48.4,40.8,39.7,-55.2,-0.962,-15.9,5.48,-1.63,-19.3,-15.7,-14.7,-21.1,-17.8,10.2
