"","USGS Gage","Model","Pct. Error"
"Jan. High Flow",94,128,-36.2
"Feb. High Flow",319,359,-12.5
"Mar. High Flow",1210,434,64.1
"Apr. High Flow",1560,1330,14.7
"May High Flow",1870,1320,29.4
"Jun. High Flow",1580,1630,-3.16
"Jul. High Flow",928,847,8.73
"Aug. High Flow",1210,633,47.7
"Sep. High Flow",410,435,-6.1
"Oct. High Flow",274,197,28.1
"Nov. High Flow",226,210,7.08
"Dec. High Flow",129,155,-20.2
