"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",14,9.61,31.4
"Med. 1 Day Min",36.9,28.8,22
"Min. 3 Day Min",14.3,9.66,32.4
"Med. 3 Day Min",38,29.6,22.1
"Min. 7 Day Min",15.2,9.87,35.1
"Med. 7 Day Min",39.4,31.4,20.3
"Min. 30 Day Min",22.1,12.3,44.3
"Med. 30 Day Min",49.5,42.7,13.7
"Min. 90 Day Min",31.9,34.8,-9.09
"Med. 90 Day Min",75.6,73.3,3.04
"7Q10",26.4,16.6,37.1
"Year of 90-Day Low Flow",2002,2002,0
"Drought Year Mean",73.7824657534247,87.1607582450728,-18.1
"Mean Baseflow",126,155,-23
