"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",526,102,127,133,147,155,160,179,152,195,143,116,123,552,525,665,685,561,576,506,481,529,394,409,430,54,75.5,69.4,161,82.5,216,94.9,252,110,287,127,2002,83.8,130,378,1360,2620,80.7,179,506,667,906,1210,1080,1400,1460,1260,1010,945,880,884,11300,3760,8320,2890,4890,2010,2220,1160,1550,816,187.309863013699
"Model",456,57.4,72.4,103,130,202,197,122,104,68.4,55.6,59.7,61.2,484,596,775,687,484,431,296,287,363,331,349,397,22.6,45.6,37.2,66.7,60.5,110,68.9,127,83.5,167,75.4,1985,45.8,73,292,1260,2470,146,145,451,929,966,993,897,2350,1150,861,704,476,362,284,8500,4430,5890,2810,3730,1880,2290,1050,1520,792,183.439117318279
"Pct. Error",13.3,43.7,43,22.6,11.6,-30.3,-23.1,31.8,31.6,64.9,61.1,48.5,50.2,12.3,-13.5,-16.5,-0.292,13.7,25.2,41.5,40.3,31.4,16,14.7,7.67,58.1,39.6,46.4,58.6,26.7,49.1,27.4,49.6,24.1,41.8,40.6,100,45.3,43.8,22.8,7.35,5.73,-80.9,19,10.9,-39.3,-6.62,17.9,16.9,-67.9,21.2,31.7,30.3,49.6,58.9,67.9,24.8,-17.8,29.2,2.77,23.7,6.47,-3.15,9.48,1.94,2.94,2.07
