"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",3090,1040,1220,1230,1270,1500,1680,1560,1930,1350,1140,1050,959,3570,4070,4860,4610,3450,2790,2030,1880,2680,2010,2510,2740,350,918,393,945,406,972,458,1060,522,1400,605,2002,489,781,1860,8880,23100,413,1640,2170,6200,4320,9350,10400,13400,11500,5830,4470,3300,2860,2670,78700,31500,63200,26600,37000,18500,18300,7600,10600,5320,851.778082191781
"Model",3100,613,723,1380,1890,2590,2800,1740,1300,1100,738,689,657,3870,4720,5650,4690,3210,2620,1610,1410,2440,1980,2360,2770,109,389,110,405,113,424,145,616,272,848,170,2002,177,397,1830,9560,20900,782,1830,1360,3530,4380,8710,6450,13300,11900,5290,3570,1990,1440,1220,74600,35200,61900,23000,36600,16600,16300,8100,12000,5750,720.255920362672
"Pct. Error",-0.324,41.1,40.7,-12.2,-48.8,-72.7,-66.7,-11.5,32.6,18.5,35.3,34.4,31.5,-8.4,-16,-16.3,-1.74,6.96,6.09,20.7,25,8.96,1.49,5.98,-1.09,68.9,57.6,72,57.1,72.2,56.4,68.3,41.9,47.9,39.4,71.9,0,63.8,49.2,1.61,-7.66,9.52,-89.3,-11.6,37.3,43.1,-1.39,6.84,38,0.746,-3.48,9.26,20.1,39.7,49.7,54.3,5.21,-11.7,2.06,13.5,1.08,10.3,10.9,-6.58,-13.2,-8.08,15.4
