river	geom
Roanoke River 426	"LINESTRING ZM (-79.265094462 37.126031815 0 79.912553,-79.2649959949999 37.126068149 0 79.390653,-79.264744795 37.126660816 0 75.627853,-79.263230461 37.128352615 0 63.114053,-79.261218394 37.130101816 0 48.817153,-79.2597423939999 37.1309107500001 0 40.207253,-79.256689593 37.1322605500001 0 23.420853,-79.2542737919999 37.1329380170001 0 11.100053,-79.252016791 37.13255895 0 -4.69999999950232e-005)"
Roanoke River 427	"LINESTRING ZM (-79.2672426619999 37.1231954140001 0 99.999953,-79.267042396 37.1233325480001 0 98.731453,-79.266440662 37.1242476150001 0 92.513853,-79.2662690619999 37.124384815 0 91.346553,-79.265696195 37.1251396150001 0 86.036353,-79.2651519949999 37.1258716150001 0 80.914753,-79.265094462 37.126031815 0 79.912553)"
Appomattox River 1	"LINESTRING ZM (-77.280060202 37.323071462 0 99.999953,-77.2783400019999 37.3234394620001 0 80.309753,-77.2723966 37.3225101290001 0 13.348353,-77.2713954659999 37.3219713290001 0 -4.69999999950232e-005)"
Appomattox River 2	"LINESTRING ZM (-77.33813362 37.3146840580001 0 99.999953,-77.337037885 37.313876325 0 92.162153,-77.334847485 37.312898058 0 78.970753,-77.333845218 37.311722724 0 69.611853,-77.332312417 37.311356458 0 61.201853,-77.3311856829999 37.310671257 0 53.757753,-77.326211416 37.3091313240001 0 25.714753,-77.324677881 37.308127858 0 15.293653,-77.322144613 37.307860057 0 1.860853,-77.321863014 37.3076887240001 0 -4.69999999950232e-005)"
Appomattox River 3	"LINESTRING ZM (-77.353229023 37.307737257 0 99.999953,-77.35282489 37.309330124 0 89.529453,-77.352201223 37.3105068570001 0 81.297153,-77.35029609 37.312248057 0 66.399753,-77.348796023 37.3130334580001 0 57.170453,-77.3472328889999 37.3134268580001 0 48.737653,-77.346419688 37.3134275240001 0 44.553353,-77.3409800869999 37.3150002580001 0 14.786853,-77.33813362 37.3146840580001 0 -4.69999999950232e-005)"
Appomattox River 4	"LINESTRING ZM (-77.377424629 37.2687069140001 0 99.999953,-77.376429295 37.2713541140001 0 77.489453,-77.3752764289999 37.2733400480001 0 59.660753,-77.374621228 37.274002249 0 52.785853,-77.3738096279999 37.2746402490001 0 45.376953,-77.371186227 37.2760151160001 0 24.960653,-77.3682812929999 37.2772187160001 0 3.666653,-77.3677186259999 37.2771948490001 0 -4.69999999950232e-005)"
Appomattox River 5	"LINESTRING ZM (-77.405026902 37.2355638400001 0 99.999953,-77.403911302 37.23652544 0 96.299753,-77.403196234 37.237303706 0 93.575353,-77.402367102 37.238791307 0 88.980653,-77.401995234 37.239180441 0 87.599053,-77.401794901 37.239272107 0 87.078453,-77.400907834 37.23970724 0 84.731053,-77.4001351 37.2399591070001 0 82.848953,-77.3992765 37.2398221070001 0 80.874253,-77.398703833 37.239479041 0 79.260153,-77.3980741 37.239342041 0 77.788153,-77.396728899 37.23915924 0 74.710653,-77.3949542989999 37.239045441 0 70.695153,-77.394410498 37.2392515070001 0 69.337853,-77.3936664989999 37.239594907 0 67.400153,-77.392836699 37.240190107 0 64.885753,-77.391892431 37.2405335070001 0 62.545953,-77.3912626979999 37.2406253070001 0 61.102253,-77.387026697 37.240672041 0 51.547253,-77.385681629 37.2408782410001 0 48.458353,-77.385652896 37.2409697080001 0 48.192253,-77.384536829 37.2413132410001 0 45.494953,-77.383363496 37.2419084420001 0 42.360753,-77.381646495 37.243098708 0 37.235053,-77.379758028 37.2457764420001 0 28.562653,-77.379243228 37.247904643 0 22.447253,-77.379129028 37.2485912430001 0 20.493153,-77.3791580279999 37.2498726440001 0 16.877353,-77.3792438949999 37.2501701100001 0 16.016153,-77.379421828 37.251241443 0 12.967153,-77.379421895 37.2524313110001 0 9.610253,-77.3788780949999 37.254651111 0 3.22865299999989,-77.3788494949999 37.255795311 0 -4.69999999950232e-005)"
Appomattox River 6	"LINESTRING ZM (-77.407201302 37.234441706 0 99.999953,-77.407115636 37.234647706 0 89.846553,-77.405685035 37.235403439 0 25.728053,-77.405026902 37.2355638400001 0 -4.69999999950232e-005)"
Appomattox River 7	"LINESTRING ZM (-77.412209304 37.233684639 0 99.999953,-77.410606437 37.233479306 0 69.297753,-77.409404503 37.2336400390001 0 46.249253,-77.408460303 37.2339150390001 0 27.243253,-77.407659236 37.23435004 0 8.928253,-77.407201302 37.234441706 0 -4.69999999950232e-005)"
Appomattox River 8	"LINESTRING ZM (-77.4215942399999 37.231003038 0 99.999953,-77.421393907 37.231048838 0 97.944853,-77.421136507 37.231277838 0 94.146853,-77.419877706 37.2318505050001 0 79.862153,-77.4190193059999 37.2320568380001 0 71.021353,-77.416158305 37.233133638 0 39.833353,-77.415900838 37.233271105 0 36.779853,-77.415214038 37.2333630380001 0 29.911753,-77.4138119039999 37.233478038 0 16.010253,-77.412209304 37.233684639 0 -4.69999999950232e-005)"
Appomattox River 9	"LINESTRING ZM (-77.519267069 37.2171492320001 0 99.999953,-77.517864936 37.217308431 0 77.832453,-77.5153463349999 37.2178784980001 0 36.860653,-77.513514334 37.218540499 0 5.393253,-77.513170934 37.2185630990001 0 -4.69999999950232e-005)"
Appomattox River 10	"LINESTRING ZM (-77.524871338 37.2202426980001 0 99.999953,-77.524442871 37.219670299 0 89.749653,-77.52395747 37.2188232980001 0 75.433853,-77.5235007369999 37.2177474320001 0 57.976253,-77.52332927 37.217587098 0 54.734653,-77.52338667 37.2174956980001 0 53.163153,-77.52310087 37.2172436980001 0 47.935753,-77.52235727 37.2170144310001 0 38.143253,-77.520697736 37.2169902310001 0 17.748253,-77.519267069 37.2171492320001 0 -4.69999999950232e-005)"
Appomattox River 11	"LINESTRING ZM (-77.717410934 37.29386844 0 99.999953,-77.717011601 37.295241441 0 90.544853,-77.7162402 37.296683441 0 80.026053,-77.7158398 37.297210041 0 75.893153,-77.7151818 37.2978053080001 0 70.566253,-77.7138372 37.298904641 0 60.256653,-77.7130071989999 37.299340042 0 54.935953,-77.7117475319999 37.2997300420001 0 47.697053,-77.7088551319999 37.300029642 0 32.068953,-77.707394398 37.2999162420001 0 24.205053,-77.706448998 37.2996881080001 0 18.913253,-77.70590473 37.299459708 0 15.618953,-77.704672197 37.2986827080001 0 7.205753,-77.70346893 37.2982030420001 0 -4.69999999950232e-005)"
Appomattox River 12	"LINESTRING ZM (-77.735922006 37.282275037 0 99.999953,-77.735866339 37.2833274380001 0 96.200153,-77.7356669389999 37.283968305 0 93.817853,-77.735352339 37.2842660380001 0 92.412253,-77.734808605 37.284564038 0 90.511753,-77.730744338 37.2857118380001 0 78.087153,-77.729885537 37.2858269050001 0 75.577253,-77.728453604 37.285713838 0 71.429953,-77.727364936 37.2853945050001 0 68.087453,-77.7225806019999 37.2834996380001 0 52.696453,-77.721664001 37.2832488380001 0 49.903953,-77.7202608009999 37.283112638 0 45.829753,-77.719488 37.2834335050001 0 43.319453,-77.7185438 37.2839606380001 0 39.999353,-77.717170734 37.285059905 0 34.396853,-77.716398799 37.286044239 0 30.206453,-77.7157416 37.287120239 0 25.887353,-77.715742333 37.2877379060001 0 23.659153,-77.715971934 37.2881724390001 0 21.957653,-77.7169468 37.2892013060001 0 17.302553,-77.717664801 37.2908709060001 0 10.933953,-77.7177798009999 37.2912368400001 0 9.572853,-77.717724001 37.2924037070001 0 5.360453,-77.717410934 37.29386844 0 -4.69999999950232e-005)"
Appomattox River 13	"LINESTRING ZM (-77.738708539 37.2693912340001 0 99.999953,-77.738080205 37.270490034 0 91.011153,-77.738023539 37.270810435 0 88.603553,-77.738081939 37.2715653020001 0 82.976253,-77.7383408059999 37.272365902 0 76.823753,-77.738455406 37.2724573020001 0 75.861053,-77.738456006 37.272869235 0 72.796053,-77.7385709389999 37.2730292360001 0 71.423353,-77.7385431399999 37.2736469020001 0 66.824653,-77.737686406 37.2751807020001 0 54.327253,-77.736744405 37.2770119030001 0 39.595953,-77.736487739 37.2776298360001 0 34.751653,-77.736090339 37.2799640370001 0 17.224053,-77.735922006 37.282275037 0 -4.69999999950232e-005)"
Appomattox River 14	"LINESTRING ZM (-77.739909339 37.268429101 0 99.999953,-77.7389660059999 37.2692994340001 0 16.364953,-77.738708539 37.2693912340001 0 -4.69999999950232e-005)"
Appomattox River 15	"LINESTRING ZM (-77.7621270129999 37.270072434 0 99.999953,-77.761869613 37.269957834 0 98.739653,-77.759323345 37.2688801 0 86.414953,-77.757406144 37.2683977 0 77.817353,-77.754486744 37.2680058330001 0 65.154853,-77.7513093429999 37.2679110340001 0 51.554053,-77.749727342 37.2677097 0 44.701853,-77.747780341 37.2674372330001 0 36.246753,-77.7458326079999 37.2668444340001 0 27.331553,-77.744115141 37.266869034 0 19.983853,-77.74291314 37.2671220340001 0 14.666853,-77.7415398059999 37.2676725010001 0 8.094953,-77.740109606 37.268383101 0 0.891253,-77.739909339 37.268429101 0 -4.69999999950232e-005)"
