"","USGS Gage","Model","Pct. Error"
"Overall Mean Flow",169,171,-1.18
"Jan. Mean Flow",211,221,-4.74
"Feb. Mean Flow",233,273,-17.2
"Mar. Mean Flow",276,331,-19.9
"Apr. Mean Flow",215,227,-5.58
"May Mean Flow",169,174,-2.96
"Jun. Mean Flow",130,122,6.15
"Jul. Mean Flow",95.9,73.7,23.1
"Aug. Mean Flow",89.8,62.8,30.1
"Sep. Mean Flow",188,162,13.8
"Oct. Mean Flow",104,105,-0.962
"Nov. Mean Flow",157,143,8.92
"Dec. Mean Flow",167,164,1.8
