"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",119,29,38,44,45,66,91,76,68,51,39,31,28,141,174,205,183,136,107,71.1,58.8,93.4,62.9,97.7,98.5,6.95,22,7.19,22,7.52,23.3,12.2,29.9,15.6,42.4,13.3,2002,14.1,22,71,313,847,15.3,64.9,101,222,239,378,338,631,341,301,172,117,80,72,4270,1920,2460,1300,1340,757,768,327,477,205,38.7643835616438
"Model",115,22.7,23.4,51.3,54.3,97.4,110,83.8,69.4,54.1,33.3,25.5,22.5,142,178,208,180,132,112,69.7,56.3,75.3,57.6,85.8,91.2,3.98,14.2,4,14.5,4.12,15.2,5.5,20.4,14.7,32.2,7.85,2002,10.1,16.7,71.2,322,813,22,71.6,61.2,209,121,476,326,716,366,284,192,100,72.3,69.9,4450,1440,1910,981,1080,607,615,309,400,209,37.4209804026245
"Pct. Error",3.36,21.7,38.4,-16.6,-20.7,-47.6,-20.9,-10.3,-2.06,-6.08,14.6,17.7,19.6,-0.709,-2.3,-1.46,1.64,2.94,-4.67,1.97,4.25,19.4,8.43,12.2,7.41,42.7,35.5,44.4,34.1,45.2,34.8,54.9,31.8,5.77,24.1,41,0,28.4,24.1,-0.282,-2.88,4.01,-43.8,-10.3,39.4,5.86,49.4,-25.9,3.55,-13.5,-7.33,5.65,-11.6,14.5,9.63,2.92,-4.22,25,22.4,24.5,19.4,19.8,19.9,5.5,16.1,-1.95,3.47
