"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",6.95,3.98,42.7
"Med. 1 Day Min",22,14.2,35.5
"Min. 3 Day Min",7.19,4,44.4
"Med. 3 Day Min",22,14.5,34.1
"Min. 7 Day Min",7.52,4.12,45.2
"Med. 7 Day Min",23.3,15.2,34.8
"Min. 30 Day Min",12.2,5.5,54.9
"Med. 30 Day Min",29.9,20.4,31.8
"Min. 90 Day Min",15.6,14.7,5.77
"Med. 90 Day Min",42.4,32.2,24.1
"7Q10",13.3,7.85,41
"Year of 90-Day Low Flow",2002,2002,0
"Drought Year Mean",38.7643835616438,37.4209804026245,3.47
"Mean Baseflow",64.9,71.6,-10.3
