"","USGS Gage","Model","Pct. Error"
"Jan. Low Flow",424,278,34.4
"Feb. Low Flow",510,371,27.3
"Mar. Low Flow",591,555,6.09
"Apr. Low Flow",618,664,-7.44
"May Low Flow",814,976,-19.9
"Jun. Low Flow",880,961,-9.2
"Jul. Low Flow",804,820,-1.99
"Aug. Low Flow",715,705,1.4
"Sep. Low Flow",632,563,10.9
"Oct. Low Flow",488,452,7.38
"Nov. Low Flow",391,391,0
"Dec. Low Flow",338,314,7.1
