"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",15.2,0,100
"Med. 1 Day Min",47,29.6,37
"Min. 3 Day Min",15.9,-4.67e-14,100
"Med. 3 Day Min",47.7,29.9,37.3
"Min. 7 Day Min",17.7,-6.99e-13,100
"Med. 7 Day Min",50.9,31.5,38.1
"Min. 30 Day Min",25.9,0.147,99.4
"Med. 30 Day Min",57.9,45.4,21.6
"Min. 90 Day Min",34.8,10.7,69.3
"Med. 90 Day Min",86,79.7,7.33
"7Q10",26.2,0.0151,99.9
"Year of 90-Day Low Flow",2002,2002,0
"Drought Year Mean",77.6441095890411,40.0785457839858,48.4
"Mean Baseflow",136,156,-14.7
