"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",14,0,100
"Med. 1 Day Min",25.2,1.67,93.4
"Min. 3 Day Min",14.3,-6.51e-14,100
"Med. 3 Day Min",26.7,1.97,92.6
"Min. 7 Day Min",15.6,1.34e-13,100
"Med. 7 Day Min",28.3,3.32,88.3
"Min. 30 Day Min",22.1,2.22,90
"Med. 30 Day Min",39.3,28.6,27.2
"Min. 90 Day Min",36.1,8.5,76.5
"Med. 90 Day Min",99.6,92.6,7.03
"7Q10",20.2,0.000255,100
"Year of 90-Day Low Flow",1988,1988,0
"Drought Year Mean",120.592896174863,148.885311888446,-23.5
"Mean Baseflow",175,207,-18.3
