"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",6.4,2.87,55.2
"Med. 1 Day Min",33,9.42,71.5
"Min. 3 Day Min",6.56,2.93,55.3
"Med. 3 Day Min",33.3,9.78,70.6
"Min. 7 Day Min",7.82,3.09,60.5
"Med. 7 Day Min",34.1,10.5,69.2
"Min. 30 Day Min",10.6,3.73,64.8
"Med. 30 Day Min",41.7,15.2,63.5
"Min. 90 Day Min",16.6,8.19,50.7
"Med. 90 Day Min",59,27,54.2
"7Q10",14.6,4.61,68.4
"Year of 90-Day Low Flow",2002,2002,0
"Drought Year Mean",44.8411780821918,24.2704210632488,45.9
"Mean Baseflow",64.5,60.3,6.51
