"","Date","Wayside_mgm","Sphol_mgm","month","mod.flow_raw","mod.flow_convertedinch","perdif","twoperdif"
"12",2002-01-01,203.46,165.2,1,975.295572393548,40.9759598123678,79.8604345756572,88.8851625312299
"11",2002-02-01,231.93,143.3,2,1233.22826741071,51.8127154016307,77.6601925573963,86.1917449559921
"10",2002-03-01,641.74,151.4,3,3078.50140712903,129.339816063407,79.8454489258255,83.6926877898722
"9",2002-04-01,1049.61,161.3,4,5195.19318363333,218.270269173484,79.2046313227309,81.9746910031725
"8",2002-05-01,679.85,192.3,5,3258.61788935484,136.9072099347,79.8621446003236,84.302332175119
"7",2002-06-01,749.01,190.7,6,3705.63067989333,155.687955648296,79.2141686161338,83.4323402274855
"6",2002-07-01,226.43,189.9,7,1084.33595578387,45.5571703645307,79.8802409731349,89.0574375220304
"5",2002-08-01,82.84,170,8,396.503960893548,16.6586733569859,79.8905439920499,93.41137740983
"4",2002-09-01,0,184.1,9,0,0,NA,100
"3",2002-10-01,0,193.2,10,0,0,NA,100
"2",2002-11-01,0,158.3,11,0.212013403666667,0.00890750758460648,-Inf,99.9943730211089
"1",2002-12-01,30.81,165.2,12,153.760886442903,6.4600927984692,79.0324803684869,96.7042024394321
