"","Date","Wayside_mgm","Sphol_mgm","month","mod.flow_raw","mod.flow_converted","perdif","twoperdif"
"12",2002-01-01,203.46,165.2,1,975.295572393548,491.711842846938,-141.674944877095,-33.3781378090756
"11",2002-02-01,231.93,143.3,2,1233.22826741071,621.752995895658,-168.077866552692,-65.6991700811922
"10",2002-03-01,641.74,151.4,3,3078.50140712903,1552.07881892802,-141.85477279397,-95.6878759018613
"9",2002-04-01,1049.61,161.3,4,5195.19318363333,2619.24496181287,-149.544589115278,-116.303850972646
"8",2002-05-01,679.85,192.3,5,3258.61788935484,1642.88760542236,-141.654424567531,-88.3721384420525
"7",2002-06-01,749.01,190.7,6,3705.63067989333,1868.25670298978,-149.430141518776,-98.8120487160701
"6",2002-07-01,226.43,189.9,7,1084.33595578387,546.686405819687,-141.437267950222,-31.3108365526594
"5",2002-08-01,82.84,170,8,396.503960893548,199.904212451818,-141.313631641499,20.9364766445904
"4",2002-09-01,0,184.1,9,0,0,NA,100
"3",2002-10-01,0,193.2,10,0,0,NA,100
"2",2002-11-01,0,158.3,11,0.212013403666667,0.106890161686412,-Inf,99.932476208663
"1",2002-12-01,30.81,165.2,12,153.760886442903,77.5211648352592,-151.610401932032,60.4504031247083
