"","Date","Wayside_mgm","Sphol_mgm","Wayside_mgd","Sphol_mgd","month","mod.flow","mod.flow_converted"
"12",2002-01-01,203.46,165.2,6.56322580645161,5.32903225806452,2002-01-01,974.9521176,491.538684274039
"11",2002-02-01,231.93,143.3,8.28321428571429,5.11785714285714,2002-02-01,1230.482484,620.368662510828
"10",2002-03-01,641.74,151.4,20.7012903225806,4.88387096774194,2002-03-01,3075.648936,1550.64069711631
"9",2002-04-01,1049.61,161.3,34.987,5.37666666666667,2002-04-01,5197.887456,2620.60332502915
"8",2002-05-01,679.85,192.3,21.9306451612903,6.20322580645161,2002-05-01,3258.011352,1642.58180930378
"7",2002-06-01,749.01,190.7,24.967,6.35666666666667,2002-06-01,3709.275144,1870.09412152505
"6",2002-07-01,226.43,189.9,7.3041935483871,6.1258064516129,2002-07-01,1085.2609872,547.152776133662
"5",2002-08-01,82.84,170,2.67225806451613,5.48387096774194,2002-08-01,397.0376136,200.173262535871
"4",2002-09-01,0,184.1,0,6.13666666666667,2002-09-01,0,0
"3",2002-10-01,0,193.2,0,6.23225806451613,2002-10-01,0,0
"2",2002-11-01,0,158.3,0,5.27666666666667,2002-11-01,0,0
"1",2002-12-01,30.81,165.2,0.993870967741935,5.32903225806452,2002-12-01,152.64965064,76.9609164142169
