"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",245,48,60,79.7,79,118,197,143,129,93,65,45,46,303,392,444,406,290,218,131,112,160,108,181,213,14,36.9,14.3,38,15.2,39.4,22.1,49.5,31.9,75.6,26.4,2002,29.9,40,130,731,1920,32.2,126,159,344,509,1040,913,1160,837,677,362,279,165,147,7480,4510,5090,2630,2870,1570,1510,684,920,465,73.7824657534247
"Model",258,47.7,46.2,91.9,123,218,227,199,161,123,74.7,55.8,43.2,320,397,462,404,307,257,158,124,164,122,189,200,9.61,28.8,9.66,29.6,9.87,31.4,12.3,42.7,34.8,73.3,16.6,2002,22.3,34.8,156,723,1920,38,155,176,491,285,1290,702,1900,849,755,477,244,158,176,9980,3620,4590,2350,2410,1430,1340,690,890,463,87.1607582450728
"Pct. Error",-5.31,0.625,23,-15.3,-55.7,-84.7,-15.2,-39.2,-24.8,-32.3,-14.9,-24,6.09,-5.61,-1.28,-4.05,0.493,-5.86,-17.9,-20.6,-10.7,-2.5,-13,-4.42,6.1,31.4,22,32.4,22.1,35.1,20.3,44.3,13.7,-9.09,3.04,37.1,0,25.4,13,-20,1.09,0,-18,-23,-10.7,-42.7,44,-24,23.1,-63.8,-1.43,-11.5,-31.8,12.5,4.24,-19.7,-33.4,19.7,9.82,10.6,16,8.92,11.3,-0.877,3.26,0.43,-18.1
