"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",1390,67,156,445,703,1090,1020,759,389,191,96,75,64,1900,2310,2710,2340,1270,796,505,747,1330,585,932,1340,13,42,14.3,43.3,17.4,47.4,30,82.6,41.2,235,24.6,2002,29.3,56,751,5000,9160,54.6,664,707,1490,1960,4210,4790,4550,4900,3130,1960,1090,1500,675,34500,8350,32700,8020,26100,7300,9190,4040,5420,3020,315.637260273973
"Model",1390,85.8,306,445,659,1080,793,528,273,183,99.6,110,81.4,1930,2340,2830,2030,1150,668,456,800,1520,706,962,1300,3.92,43.6,4.48,45.9,5.47,49.3,16.6,74.5,66.3,279,16.5,2002,30.8,59.4,697,4700,11600,42.5,629,875,1880,2090,4330,4990,6720,4390,2460,1110,764,1000,851,49800,15000,45600,13100,31500,8530,10100,3870,5610,2600,437.894553003927
"Pct. Error",0,-28.1,-96.2,0,6.26,0.917,22.3,30.4,29.8,4.19,-3.75,-46.7,-27.2,-1.58,-1.3,-4.43,13.2,9.45,16.1,9.7,-7.1,-14.3,-20.7,-3.22,2.99,69.8,-3.81,68.7,-6,68.6,-4.01,44.7,9.81,-60.9,-18.7,32.9,0,-5.12,-6.07,7.19,6,-26.6,22.2,5.27,-23.8,-26.2,-6.63,-2.85,-4.18,-47.7,10.4,21.4,43.4,29.9,33.3,-26.1,-44.3,-79.6,-39.4,-63.3,-20.7,-16.8,-9.9,4.21,-3.51,13.9,-38.7
