"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",169,46,57,79,90,106,101,96,78,60.6,38,37,37,211,233,276,215,169,130,95.9,89.8,188,104,157,167,1,31,1.12,32.7,1.41,33.4,5.02,43.2,10.7,63.4,9.41,2002,10.6,27.3,97.6,457,1330,13.6,87.1,203,553,584,630,657,906,460,332,271,322,195,133,20000,3140,11400,1680,5550,887,1480,494,584,292,42.6645205479452
"Model",171,19.8,39.3,76.6,94.5,133,131,87.9,63.9,40.2,24.1,20.2,17.9,221,273,331,227,174,122,73.7,62.8,162,105,143,164,1.86,13.2,1.92,13.5,2.07,14.6,3.84,20.1,14.1,35.3,4.34,1986,5.87,14,92.7,512,1560,21,88.2,118,426,507,615,632,1360,591,205,166,135,94.6,93.6,11200,3230,6210,1600,3190,922,998,511,719,334,44.6472703014918
"Pct. Error",-1.18,57,31.1,3.04,-5,-25.5,-29.7,8.44,18.1,33.7,36.6,45.4,51.6,-4.74,-17.2,-19.9,-5.58,-2.96,6.15,23.1,30.1,13.8,-0.962,8.92,1.8,-86,57.4,-71.4,58.7,-46.8,56.3,23.5,53.5,-31.8,44.3,53.9,100,44.6,48.7,5.02,-12,-17.3,-54.4,-1.26,41.9,23,13.2,2.38,3.81,-50.1,-28.5,38.3,38.7,58.1,51.5,29.6,44,-2.87,45.5,4.76,42.5,-3.95,32.6,-3.44,-23.1,-14.4,-4.65
