"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",38,45.3,-19.2
"Med. 1 Day Min",46,45.9,0.217
"Min. 3 Day Min",44,68.3,-55.2
"Med. 3 Day Min",62,84.4,-36.1
"Min. 7 Day Min",60.6,93.9,-55
"Med. 7 Day Min",93.3,129,-38.3
"Min. 30 Day Min",69.8,93.7,-34.2
"Med. 30 Day Min",128,126,1.56
"Min. 90 Day Min",72.5,102,-40.7
"Med. 90 Day Min",143,155,-8.39
"7Q10",67.7,102,-50.7
"Year of 90-Day Low Flow",2003,1985,100
"Drought Year Mean",409.191780821918,461.020291893522,-12.7
"Mean Baseflow",57.5,54.6,5.04
