"","RIVSEG"
"1","MN0_8300_0001"
"2","BS4_8060_0000"
"3","BS1_8140_0000"
"4","KU0_8980_0000"
"5","MN0_7790_0000"
"6","MN0_7790_0000"
"7","MN2_7850_0000"
"8","MN0_7870_0000"
"9","MN0_7870_0000"
"10","MN0_8040_0000"
"11","MN3_8150_0000"
"12","MN1_8240_0000"
"13","NR0_8310_0000"
"14","TU1_9120_0000"
"15","TU0_9160_0000"
"16","TU0_9300_0000"
