"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",192,49,67,91,76,118,132,126,111,86,58,48,47,229,253,290,278,210,193,122,104,180,119,150,176,6.04,38,6.42,38.7,7.18,44.1,10.7,50,17.8,74.1,15.7,2002,15,35,113,510,1550,20.6,100,127,306,577,733,576,899,607,303,295,280,229,211,26000,2710,10700,1580,4810,972,1340,475,750,313,39.3435342465753
"Model",195,35,41,66,113,140,142,105,81.2,68.1,44.1,39,32.4,248,289,333,291,203,179,106,91.4,155,130,152,173,3.13,20.6,3.25,20.9,3.53,22.3,6.36,34.9,15.8,57.5,8.45,2002,10.2,20.5,116,531,1490,32,111,135,472,404,526,498,873,582,324,201,150,147,123,10200,2820,5010,1960,2620,1010,1250,512,796,348,36.7958167553331
"Pct. Error",-1.56,28.6,38.8,27.5,-48.7,-18.6,-7.58,16.7,26.8,20.8,24,18.8,31.1,-8.3,-14.2,-14.8,-4.68,3.33,7.25,13.1,12.1,13.9,-9.24,-1.33,1.7,48.2,45.8,49.4,46,50.8,49.4,40.6,30.2,11.2,22.4,46.2,0,32,41.4,-2.65,-4.12,3.87,-55.3,-11,-6.3,-54.2,30,28.2,13.5,2.89,4.12,-6.93,31.9,46.4,35.8,41.7,60.8,-4.06,53.2,-24.1,45.5,-3.91,6.72,-7.79,-6.13,-11.2,6.48
