"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",193,75,88.1,90.9,106,133,131,134,120,108,97.1,84,76,208,212,268,267,197,197,161,181,160,123,158,185,21,60.5,25.7,63.7,41,71.1,52.7,87.2,66.3,117,46.4,2002,51,65,143,446,929,45.8,130,174,286,441,420,413,497,465,371,311,233,261,274,6430,1820,3010,1000,1540,675,768,403,551,276,93.5591780821918
"Model",206,68.1,76.5,94.7,117,162,163,129,98.8,79,65.7,56.4,63,241,275,340,286,194,190,119,162,171,121,179,195,18.8,38.8,19.1,39.5,20.1,41.3,24.6,54.3,44.5,75.4,25.5,1986,29.5,44.6,141,557,1170,62.9,128,163,352,333,454,490,1010,751,478,230,161,252,233,5820,2380,3180,1550,1640,1020,787,533,597,309,91.609799547638
"Pct. Error",-6.74,9.2,13.2,-4.18,-10.4,-21.8,-24.4,3.73,17.7,26.9,32.3,32.9,17.1,-15.9,-29.7,-26.9,-7.12,1.52,3.55,26.1,10.5,-6.88,1.63,-13.3,-5.41,10.5,35.9,25.7,38,51,41.9,53.3,37.7,32.9,35.6,45,100,42.2,31.4,1.4,-24.9,-25.9,-37.3,1.54,6.32,-23.1,24.5,-8.1,-18.6,-103,-61.5,-28.8,26,30.9,3.45,15,9.49,-30.8,-5.65,-55,-6.49,-51.1,-2.47,-32.3,-8.35,-12,2.08
