"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",372,69,84,120,125,214,249,212,163,126,83,67,59,460,580,650,604,434,337,204,173,263,170,291,313,16.3,50,16.8,51.7,18.5,55.6,33.8,66.8,50.2,111,33.9,2002,42.8,59.5,191,1120,2900,30.9,184,213,455,829,1400,1290,2180,1390,1020,498,413,262,208,15000,5700,9480,3680,5250,2310,2590,992,1500,655,109.661095890411
"Model",384,63.3,72.9,153,181,316,285,241,201,157,90.8,72,56.8,486,591,669,581,447,366,237,184,271,190,301,309,0,38.8,0.871,41.3,4.65,43.3,13.5,63.6,25.1,115,11,2002,12.1,36.9,225,1120,3080,56,211,355,760,578,1510,1090,2030,1150,1190,721,451,390,340,17600,5820,7930,3410,3960,2120,2150,1090,1340,679,67.8358152932963
"Pct. Error",-3.23,8.26,13.2,-27.5,-44.8,-47.7,-14.5,-13.7,-23.3,-24.6,-9.4,-7.46,3.73,-5.65,-1.9,-2.92,3.81,-3,-8.61,-16.2,-6.36,-3.04,-11.8,-3.44,1.28,100,22.4,94.8,20.1,74.9,22.1,60.1,4.79,50,-3.6,67.6,0,71.7,38,-17.8,0,-6.21,-81.2,-14.7,-66.7,-67,30.3,-7.86,15.5,6.88,17.3,-16.7,-44.8,-9.2,-48.9,-63.5,-17.3,-2.11,16.4,7.34,24.6,8.23,17,-9.88,10.7,-3.66,38.1
