"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",39,8.17,79.1
"Med. 1 Day Min",56,22.7,59.5
"Min. 3 Day Min",40,8.81,78
"Med. 3 Day Min",56.7,24.1,57.5
"Min. 7 Day Min",40.7,9.72,76.1
"Med. 7 Day Min",58.7,26.4,55
"Min. 30 Day Min",49.6,13.3,73.2
"Med. 30 Day Min",65.8,41.9,36.3
"Min. 90 Day Min",53.2,37.3,29.9
"Med. 90 Day Min",84.1,77.6,7.73
"7Q10",47.1,12.6,73.2
"Year of 90-Day Low Flow",1988,1985,100
"Drought Year Mean",118.863387978142,106.038257910175,10.8
"Mean Baseflow",149,155,-4.03
