"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",18,0.249,98.6
"Med. 1 Day Min",70,31,55.7
"Min. 3 Day Min",18,0.578,96.8
"Med. 3 Day Min",90.3,32.7,63.8
"Min. 7 Day Min",18.3,1.35,92.6
"Med. 7 Day Min",93.8,36.7,60.9
"Min. 30 Day Min",22.2,4.51,79.7
"Med. 30 Day Min",123,55.6,54.8
"Min. 90 Day Min",39.6,22.5,43.2
"Med. 90 Day Min",184,100,45.7
"7Q10",33.7,7.06,79.1
"Year of 90-Day Low Flow",2002,2002,0
"Drought Year Mean",136.366575342466,97.7309089908427,28.3
"Mean Baseflow",239,268,-12.1
