"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",77.6,8.3,12,16,30,48,54,54,32.6,19,14,11,9.4,102,156,156,134,90.1,61.1,39.5,33.8,25.3,25,39.2,75,3,7.4,3.33,7.53,4.41,7.84,5.1,11.2,8.91,18.7,5.15,1999,5.7,8.3,39.9,247,607,5.95,35.5,36,163,231,380,596,411,255,243,97,118,79,55,3750,1020,1710,755,873,477,451,247,320,162,46.3265753424658
"Model",87.8,7.89,21.3,26.1,44.8,58.2,53.3,38.7,24.5,14.5,12,14.6,8.44,125,187,164,118,85.5,57.4,38.6,37.9,36.2,42.4,64.3,104,0,5,0.0124,5.5,0.35,6.58,4.37,13,9.15,25.2,1.43,1988,3.5,8.3,49.6,267,703,7.6,41.3,74,211,251,325,591,422,280,349,81.4,78.7,76.3,56,3250,1360,1890,717,1190,488,556,268,412,180,56.7925414002253
"Pct. Error",-13.1,4.94,-77.5,-63.1,-49.3,-21.3,1.3,28.3,24.8,23.7,14.3,-32.7,10.2,-22.5,-19.9,-5.13,11.9,5.11,6.06,2.28,-12.1,-43.1,-69.6,-64,-38.7,100,32.4,99.6,27,92.1,16.1,14.3,-16.1,-2.69,-34.8,72.2,100,38.6,0,-24.3,-8.1,-15.8,-27.7,-16.3,-106,-29.4,-8.66,14.5,0.839,-2.68,-9.8,-43.6,16.1,33.3,3.42,-1.82,13.3,-33.3,-10.5,5.03,-36.3,-2.31,-23.3,-8.5,-28.7,-11.1,-22.6
