"","RIVSEG"
"1","EL2_4400_4590"
"2","EL0_4560_4562"
"3","EL0_4561_4562"
"4","EL2_5110_5270"
"5","JA0_7291_7290"
"6","JB3_6820_7053"
"7","PL1_4460_4780"
"8","PL2_5300_5630"
"9","PL2_4970_5250"
"10","PL0_5010_5130"
"11","PL0_5530_5710"
"12","PL0_5540_5490"
"13","PL0_5730_5690"
"14","PM0_4640_4820"
"15","WM1_3660_3910"
"16","YM1_6370_6620"
"17","YP0_6860_6840"
