"","RIVSEG"
"1","EL2_4400_4590"
"2","EL0_4560_4562"
"3","EL0_4561_4562"
"4","EL2_5110_5270"
"5","JA4_7280_7340"
"6","JA0_7291_7290"
"7","JA4_7340_7470"
"8","JA2_7410_7470"
"9","JA4_7470_7480"
"10","JA2_7550_7280"
"11","JA2_7570_7480"
"12","JA1_7600_7570"
"13","JA1_7640_7280"
"14","JB3_6820_7053"
"15","WU1_3240_3331"
"16","JU1_7560_7500"
"17","JU1_7630_7490"
"18","JU1_7690_7490"
"19","JU1_7750_7560"
"20","PL1_4460_4780"
"21","JL2_6240_6520"
"22","JL2_6440_6441"
"23","JL2_6441_6520"
"24","JL4_6520_6710"
"25","JL1_6560_6440"
"26","JL4_6710_6740"
"27","JL6_6740_7100"
"28","JL1_6760_6910"
"29","JL1_6770_6850"
"30","JL7_6800_7070"
"31","JL2_6850_6890"
"32","JL6_6890_6990"
"33","JL1_6910_6960"
"34","JL1_6940_7200"
"35","JL6_6960_6970"
"36","JL6_6970_6740"
"37","JL6_6990_6960"
"38","JL3_7020_7100"
"39","JL7_7030_6800"
"40","JL1_7080_7190"
"41","JL3_7090_7150"
"42","PL2_5140_5360"
"43","PL0_5141_5140"
"44","PL2_5300_5630"
"45","JL7_7100_7030"
"46","JL2_7110_7120"
"47","JL2_7120_6970"
"48","JL6_7150_6890"
"49","JL6_7160_7440"
"50","JL1_7170_6800"
"51","JL1_7190_7250"
"52","JL1_7200_7250"
"53","JL2_7240_7350"
"54","JL2_7250_7090"
"55","JL6_7320_7150"
"56","JL2_7350_7090"
"57","JL6_7430_7320"
"58","JL6_7440_7430"
"59","JL1_7530_7430"
"60","JU1_6290_6590"
"61","JU1_6300_6650"
"62","JU1_6340_6650"
"63","JU3_6380_6900"
"64","JU2_6410_6640"
"65","JU1_6590_6600"
"66","JU2_6600_6810"
"67","JU3_6640_6790"
"68","JU3_6650_7300"
"69","JU3_6790_7260"
"70","JU2_6810_6900"
"71","JU1_6880_7260"
"72","JU3_6900_6950"
"73","JU3_6950_7330"
"74","JU4_7000_7300"
"75","JU2_7140_7330"
"76","JU2_7180_7380"
"77","JU4_7260_7380"
"78","JU5_7300_7510"
"79","JU4_7330_7000"
"80","JU2_7360_7000"
"81","JU4_7380_7160"
"82","JU3_7400_7510"
"83","JU5_7420_7160"
"84","JU2_7450_7360"
"85","JU3_7490_7400"
"86","JU5_7500_7420"
"87","JU5_7510_7500"
"88","PL2_4970_5250"
"89","PL0_5010_5130"
"90","PL3_5360_5250"
"91","PL1_5370_5470"
"92","PL2_5470_5360"
"93","PL0_5530_5710"
"94","PL0_5540_5490"
"95","PL0_5730_5690"
"96","PM2_2860_3040"
"97","PM3_3040_3340"
"98","PM1_3120_3400"
"99","PM4_3340_3341"
"100","PM4_3341_4040"
"101","PM2_3400_3340"
"102","PM1_3450_3400"
"103","PM1_3510_4000"
"104","PM1_3710_4040"
"105","PM1_4000_4290"
"106","PM4_4040_4410"
"107","PM7_4150_4290"
"108","PM7_4200_4410"
"109","PM1_4250_4500"
"110","PM7_4290_4200"
"111","PM7_4410_4620"
"112","PM1_4430_4200"
"113","PM1_4500_4580"
"114","PM7_4580_4820"
"115","PM7_4620_4580"
"116","PM0_4640_4820"
"117","PM3_4660_4620"
"118","PM3_4670_4660"
"119","PM2_4860_4670"
"120","PS5_4370_4150"
"121","PS5_4380_4370"
"122","PS1_4790_4830"
"123","PS1_4830_5080"
"124","PS4_5080_4380"
"125","PS3_5100_5080"
"126","PS5_5200_4380"
"127","PS5_5240_5200"
"128","PS2_5550_5560"
"129","PS2_5560_5100"
"130","PS4_5840_5240"
"131","PS3_5990_6161"
"132","PS0_6150_6160"
"133","PS0_6160_6161"
"134","PS3_6161_6280"
"135","PS4_6230_6360"
"136","PS3_6280_6230"
"137","PS4_6360_5840"
"138","PS2_6420_6360"
"139","PS3_6460_6230"
"140","PS2_6490_6420"
"141","PS2_6660_6490"
"142","PS2_6730_6660"
"143","PU3_2510_3290"
"144","PU2_2790_3290"
"145","PU2_2840_3080"
"146","PU0_3000_3090"
"147","PU1_3030_3440"
"148","PU2_3080_3640"
"149","PU2_3090_4050"
"150","PU1_3100_3690"
"151","PU2_3140_3680"
"152","PU1_3170_3580"
"153","PU2_3180_3370"
"154","PU3_3290_3390"
"155","PU2_3370_4020"
"156","PU3_3390_3730"
"157","PU6_3440_3590"
"158","PU6_3530_3440"
"159","PU1_3580_3780"
"160","PU6_3590_3640"
"161","PU6_3600_3602"
"162","PU0_3601_3602"
"163","PU6_3602_3730"
"164","PU6_3610_3530"
"165","PU0_3611_3530"
"166","PU2_3630_3590"
"167","PU6_3640_3600"
"168","PU3_3680_3890"
"169","PU6_3690_3610"
"170","PU6_3730_3750"
"171","PU6_3750_3752"
"172","PU0_3751_3752"
"173","PU6_3752_4080"
"174","PU2_3770_3600"
"175","PU4_3780_3930"
"176","PU1_3850_4190"
"177","PU3_3860_3610"
"178","PU6_3870_3690"
"179","PU0_3871_3690"
"180","PU4_3890_3990"
"181","PU2_3900_3750"
"182","PU5_3930_4170"
"183","PU1_3940_3970"
"184","PU4_3970_3890"
"185","PU4_3990_3780"
"186","PU6_4020_3870"
"187","PU2_4050_4180"
"188","PU6_4080_4180"
"189","PU2_4160_3930"
"190","PU5_4170_4020"
"191","PU6_4180_4150"
"192","PU1_4190_4300"
"193","PU4_4210_4170"
"194","PU2_4220_3900"
"195","PU3_4280_3860"
"196","PU1_4300_4440"
"197","PU4_4310_4210"
"198","PU2_4340_3860"
"199","PU2_4360_4160"
"200","PU4_4440_3970"
"201","PU3_4450_4440"
"202","PU2_4720_4750"
"203","PU2_4730_4220"
"204","PU2_4750_4450"
"205","PU1_4760_4450"
"206","PU1_4840_4760"
"207","PU4_5050_4310"
"208","PU2_5190_4310"
"209","PU3_5210_5050"
"210","PU1_5380_5050"
"211","PU1_5520_5210"
"212","PU0_5620_5380"
"213","PU2_5700_5210"
"214","PU1_5820_5380"
"215","PU2_6050_5190"
"216","PU0_6080_5620"
"217","RU2_5220_5640"
"218","RU2_5500_5610"
"219","RU3_5610_5640"
"220","RU4_5640_6030"
"221","RU2_5810_5610"
"222","RU2_5940_6200"
"223","RU4_6040_6030"
"224","RU2_6090_6220"
"225","RU3_6170_6040"
"226","RU2_6200_6170"
"227","RU2_6220_6170"
"228","WM1_3660_3910"
"229","WM3_3880_4060"
"230","WM0_3881_3880"
"231","WM1_3882_3880"
"232","WU2_3020_3320"
"233","WU0_3021_3020"
"234","WU2_3320_3480"
"235","WU1_3331_3330"
"236","WU1_3350_3490"
"237","WU3_3480_3481"
"238","WU1_3490_3480"
"239","XU2_4070_4330"
"240","XU0_4090_4270"
"241","XU0_4091_4270"
"242","XU0_4130_4070"
"243","XU2_4270_4650"
"244","XU2_4330_4480"
"245","XU2_4480_4650"
"246","YM2_6120_6430"
"247","YM1_6370_6620"
"248","YM3_6430_6620"
"249","YP3_6330_6700"
"250","YP2_6390_6330"
"251","YP3_6470_6690"
"252","YP1_6570_6680"
"253","YP3_6670_6720"
"254","YP1_6680_6670"
"255","YP3_6690_6720"
"256","YP3_6700_6670"
"257","YP4_6720_6750"
"258","YP0_6860_6840"
